target,budget,variant,selected_wavelengths,effective_channels,used_channel_centers_nm,note
cp,20,raw_nm,"556,533,1736,1275,1226,1768,721,1542,1767,679,544,793,1573,656,1664,1041,1241,1211,616,485",20,"556,533,1736,1275,1226,1768,721,1542,1767,679,544,793,1573,656,1664,1041,1241,1211,616,485",raw selected 1 nm samples
cp,20,gaussian_fwhm10,"556,533,1736,1275,1226,1768,721,1542,1767,679,544,793,1573,656,1664,1041,1241,1211,616,485",20,"556,533,1736,1275,1226,1768,721,1542,1767,679,544,793,1573,656,1664,1041,1241,1211,616,485","10 nm FWHM, 30 overlapping filters"
cp,20,gaussian_fwhm20,"556,533,1736,1275,1226,1768,721,1542,1767,679,544,793,1573,656,1664,1041,1241,1211,616,485",20,"556,533,1736,1275,1226,1768,721,1542,1767,679,544,793,1573,656,1664,1041,1241,1211,616,485","20 nm FWHM, 30 overlapping filters"
cp,20,merged_gaussian_fwhm10,"556,533,1736,1275,1226,1768,721,1542,1767,679,544,793,1573,656,1664,1041,1241,1211,616,485",19,"485,533,544,556,616,656,679,721,793,1041,1211,1226,1241,1275,1542,1573,1664,1736,1768","10 nm FWHM, centers within 10 nm merged | 485;533;544;556;616;656;679;721;793;1041;1211;1226;1241;1275;1542;1573;1664;1736;1767,1768"
cp,20,merged_gaussian_fwhm20,"556,533,1736,1275,1226,1768,721,1542,1767,679,544,793,1573,656,1664,1041,1241,1211,616,485",15,"485,544,616,656,679,721,793,1041,1226,1275,1542,1573,1664,1736,1768","20 nm FWHM, centers within 20 nm merged | 485;533,544,556;616;656;679;721;793;1041;1211,1226,1241;1275;1542;1573;1664;1736;1767,1768"
cbc,20,raw_nm,"1706,1536,1271,1007,1090,709,1264,1331,1796,669,487,526,1581,1618,1736,1443,646,1104,572,525",20,"1706,1536,1271,1007,1090,709,1264,1331,1796,669,487,526,1581,1618,1736,1443,646,1104,572,525",raw selected 1 nm samples
cbc,20,gaussian_fwhm10,"1706,1536,1271,1007,1090,709,1264,1331,1796,669,487,526,1581,1618,1736,1443,646,1104,572,525",20,"1706,1536,1271,1007,1090,709,1264,1331,1796,669,487,526,1581,1618,1736,1443,646,1104,572,525","10 nm FWHM, 30 overlapping filters"
cbc,20,gaussian_fwhm20,"1706,1536,1271,1007,1090,709,1264,1331,1796,669,487,526,1581,1618,1736,1443,646,1104,572,525",20,"1706,1536,1271,1007,1090,709,1264,1331,1796,669,487,526,1581,1618,1736,1443,646,1104,572,525","20 nm FWHM, 30 overlapping filters"
cbc,20,merged_gaussian_fwhm10,"1706,1536,1271,1007,1090,709,1264,1331,1796,669,487,526,1581,1618,1736,1443,646,1104,572,525",18,"487,526,572,646,669,709,1007,1090,1104,1268,1331,1443,1536,1581,1618,1706,1736,1796","10 nm FWHM, centers within 10 nm merged | 487;525,526;572;646;669;709;1007;1090;1104;1264,1271;1331;1443;1536;1581;1618;1706;1736;1796"
cbc,20,merged_gaussian_fwhm20,"1706,1536,1271,1007,1090,709,1264,1331,1796,669,487,526,1581,1618,1736,1443,646,1104,572,525",17,"487,526,572,646,669,709,1007,1097,1268,1331,1443,1536,1581,1618,1706,1736,1796","20 nm FWHM, centers within 20 nm merged | 487;525,526;572;646;669;709;1007;1090,1104;1264,1271;1331;1443;1536;1581;1618;1706;1736;1796"
car,20,raw_nm,"1431,440,568,400,446,439,486,1291,704,909,675,1225,1033,1275,1078,607,600,677,596,456",20,"1431,440,568,400,446,439,486,1291,704,909,675,1225,1033,1275,1078,607,600,677,596,456",raw selected 1 nm samples
car,20,gaussian_fwhm10,"1431,440,568,400,446,439,486,1291,704,909,675,1225,1033,1275,1078,607,600,677,596,456",20,"1431,440,568,400,446,439,486,1291,704,909,675,1225,1033,1275,1078,607,600,677,596,456","10 nm FWHM, 30 overlapping filters"
car,20,gaussian_fwhm20,"1431,440,568,400,446,439,486,1291,704,909,675,1225,1033,1275,1078,607,600,677,596,456",20,"1431,440,568,400,446,439,486,1291,704,909,675,1225,1033,1275,1078,607,600,677,596,456","20 nm FWHM, 30 overlapping filters"
car,20,merged_gaussian_fwhm10,"1431,440,568,400,446,439,486,1291,704,909,675,1225,1033,1275,1078,607,600,677,596,456",14,"400,445,486,568,601,676,704,909,1033,1078,1225,1275,1291,1431","10 nm FWHM, centers within 10 nm merged | 400;439,440,446,456;486;568;596,600,607;675,677;704;909;1033;1078;1225;1275;1291;1431"
car,20,merged_gaussian_fwhm20,"1431,440,568,400,446,439,486,1291,704,909,675,1225,1033,1275,1078,607,600,677,596,456",13,"400,445,486,568,601,676,704,909,1033,1078,1225,1283,1431","20 nm FWHM, centers within 20 nm merged | 400;439,440,446,456;486;568;596,600,607;675,677;704;909;1033;1078;1225;1275,1291;1431"
anth,20,raw_nm,"592,486,1348,1471,552,1297,695,676,512,561,1138,972,525,721,655,767,1463,1469,694,675",20,"592,486,1348,1471,552,1297,695,676,512,561,1138,972,525,721,655,767,1463,1469,694,675",raw selected 1 nm samples
anth,20,gaussian_fwhm10,"592,486,1348,1471,552,1297,695,676,512,561,1138,972,525,721,655,767,1463,1469,694,675",20,"592,486,1348,1471,552,1297,695,676,512,561,1138,972,525,721,655,767,1463,1469,694,675","10 nm FWHM, 30 overlapping filters"
anth,20,gaussian_fwhm20,"592,486,1348,1471,552,1297,695,676,512,561,1138,972,525,721,655,767,1463,1469,694,675",20,"592,486,1348,1471,552,1297,695,676,512,561,1138,972,525,721,655,767,1463,1469,694,675","20 nm FWHM, 30 overlapping filters"
anth,20,merged_gaussian_fwhm10,"592,486,1348,1471,552,1297,695,676,512,561,1138,972,525,721,655,767,1463,1469,694,675",15,"486,512,525,556,592,655,676,694,721,767,972,1138,1297,1348,1468","10 nm FWHM, centers within 10 nm merged | 486;512;525;552,561;592;655;675,676;694,695;721;767;972;1138;1297;1348;1463,1469,1471"
anth,20,merged_gaussian_fwhm20,"592,486,1348,1471,552,1297,695,676,512,561,1138,972,525,721,655,767,1463,1469,694,675",12,"486,518,556,592,679,721,767,972,1138,1297,1348,1468","20 nm FWHM, centers within 20 nm merged | 486;512,525;552,561;592;655,675,676,694,695;721;767;972;1138;1297;1348;1463,1469,1471"
