trait,rank,wavelength_nm,spectral_feature,physiological_interpretation
cp,24,1770,SWIR biochemical absorption,cellulose/lignin/protein/dry matter sensitivity
cp,25,675,red chlorophyll absorption,chlorophyll absorption and pigment concentration
cp,26,630,red chlorophyll absorption,chlorophyll absorption and pigment concentration
cp,27,623,other spectral region,supporting or continuum wavelength
cp,28,519,green pigment reflectance,green peak and carotenoid/chlorophyll balance
cp,29,551,green pigment reflectance,green peak and carotenoid/chlorophyll balance
cp,30,664,red chlorophyll absorption,chlorophyll absorption and pigment concentration
cbc,1,1706,SWIR biochemical absorption,cellulose/lignin/protein/dry matter sensitivity
cbc,2,1536,other spectral region,supporting or continuum wavelength
cbc,3,1271,NIR structure plateau,leaf/canopy structure and scattering
cbc,4,1007,NIR structure plateau,leaf/canopy structure and scattering
cbc,5,1090,NIR structure plateau,leaf/canopy structure and scattering
cbc,6,709,red-edge inflection,chlorophyll-structure transition
cbc,7,1264,NIR structure plateau,leaf/canopy structure and scattering
cbc,8,1331,other spectral region,supporting or continuum wavelength
cbc,9,1796,SWIR biochemical absorption,cellulose/lignin/protein/dry matter sensitivity
cbc,10,669,red chlorophyll absorption,chlorophyll absorption and pigment concentration
cbc,11,487,other spectral region,supporting or continuum wavelength
cbc,12,526,green pigment reflectance,green peak and carotenoid/chlorophyll balance
cbc,13,1581,other spectral region,supporting or continuum wavelength
cbc,14,1618,other spectral region,supporting or continuum wavelength
cbc,15,1737,SWIR biochemical absorption,cellulose/lignin/protein/dry matter sensitivity
cbc,16,1443,1450 nm water absorption,strong water absorption
cbc,17,646,red chlorophyll absorption,chlorophyll absorption and pigment concentration
cbc,18,1104,NIR structure plateau,leaf/canopy structure and scattering
cbc,19,572,other spectral region,supporting or continuum wavelength
cbc,20,1687,SWIR biochemical absorption,cellulose/lignin/protein/dry matter sensitivity
cbc,21,1662,SWIR biochemical absorption,cellulose/lignin/protein/dry matter sensitivity
cbc,22,2099,SWIR water/biochemical absorption,"water, cellulose, lignin, protein and dry matter sensitivity"
cbc,23,1685,SWIR biochemical absorption,cellulose/lignin/protein/dry matter sensitivity
cbc,24,1596,other spectral region,supporting or continuum wavelength
cbc,25,518,green pigment reflectance,green peak and carotenoid/chlorophyll balance
cbc,26,1588,other spectral region,supporting or continuum wavelength
cbc,27,1603,other spectral region,supporting or continuum wavelength
cbc,28,2123,SWIR water/biochemical absorption,"water, cellulose, lignin, protein and dry matter sensitivity"
cbc,29,1797,SWIR biochemical absorption,cellulose/lignin/protein/dry matter sensitivity
cbc,30,1795,SWIR biochemical absorption,cellulose/lignin/protein/dry matter sensitivity
car,1,1431,1450 nm water absorption,strong water absorption
car,2,440,blue chlorophyll absorption,chlorophyll/carotenoid absorption region
car,3,568,green pigment reflectance,green peak and carotenoid/chlorophyll balance
car,4,400,other spectral region,supporting or continuum wavelength
car,5,446,blue chlorophyll absorption,chlorophyll/carotenoid absorption region
car,6,439,blue chlorophyll absorption,chlorophyll/carotenoid absorption region
car,7,486,other spectral region,supporting or continuum wavelength
car,8,1291,NIR structure plateau,leaf/canopy structure and scattering
car,9,704,red-edge inflection,chlorophyll-structure transition
car,10,909,NIR structure plateau,leaf/canopy structure and scattering
car,11,675,red chlorophyll absorption,chlorophyll absorption and pigment concentration
car,12,1225,1200 nm water/dry matter shoulder,water and dry matter continuum
car,13,1033,NIR structure plateau,leaf/canopy structure and scattering
car,14,1275,NIR structure plateau,leaf/canopy structure and scattering
car,15,1078,NIR structure plateau,leaf/canopy structure and scattering
car,16,607,other spectral region,supporting or continuum wavelength
car,17,600,other spectral region,supporting or continuum wavelength
car,18,677,red chlorophyll absorption,chlorophyll absorption and pigment concentration
car,19,596,other spectral region,supporting or continuum wavelength
car,20,457,other spectral region,supporting or continuum wavelength
car,21,487,other spectral region,supporting or continuum wavelength
car,22,1472,1450 nm water absorption,strong water absorption
car,23,680,red chlorophyll absorption,chlorophyll absorption and pigment concentration
car,24,402,other spectral region,supporting or continuum wavelength
car,25,441,blue chlorophyll absorption,chlorophyll/carotenoid absorption region
car,26,1475,1450 nm water absorption,strong water absorption
car,27,1474,1450 nm water absorption,strong water absorption
car,28,679,red chlorophyll absorption,chlorophyll absorption and pigment concentration
car,29,1459,1450 nm water absorption,strong water absorption
car,30,1455,1450 nm water absorption,strong water absorption
anth,1,592,other spectral region,supporting or continuum wavelength
anth,2,486,other spectral region,supporting or continuum wavelength
anth,3,1348,other spectral region,supporting or continuum wavelength
anth,4,1471,1450 nm water absorption,strong water absorption
anth,5,552,green pigment reflectance,green peak and carotenoid/chlorophyll balance
anth,6,1297,NIR structure plateau,leaf/canopy structure and scattering
anth,7,695,other spectral region,supporting or continuum wavelength
anth,8,676,red chlorophyll absorption,chlorophyll absorption and pigment concentration
anth,9,512,green pigment reflectance,green peak and carotenoid/chlorophyll balance
anth,10,561,green pigment reflectance,green peak and carotenoid/chlorophyll balance
anth,11,1138,NIR structure plateau,leaf/canopy structure and scattering
anth,12,972,970 nm water absorption,leaf/canopy water sensitivity
anth,13,525,green pigment reflectance,green peak and carotenoid/chlorophyll balance
anth,14,721,red-edge inflection,chlorophyll-structure transition
anth,15,655,red chlorophyll absorption,chlorophyll absorption and pigment concentration
anth,16,767,NIR structure plateau,leaf/canopy structure and scattering
anth,17,1463,1450 nm water absorption,strong water absorption
anth,18,1470,1450 nm water absorption,strong water absorption
anth,19,694,other spectral region,supporting or continuum wavelength
anth,20,675,red chlorophyll absorption,chlorophyll absorption and pigment concentration
anth,21,643,red chlorophyll absorption,chlorophyll absorption and pigment concentration
anth,22,560,green pigment reflectance,green peak and carotenoid/chlorophyll balance
anth,23,557,green pigment reflectance,green peak and carotenoid/chlorophyll balance
anth,24,559,green pigment reflectance,green peak and carotenoid/chlorophyll balance
anth,25,556,green pigment reflectance,green peak and carotenoid/chlorophyll balance
anth,26,555,green pigment reflectance,green peak and carotenoid/chlorophyll balance
anth,27,558,green pigment reflectance,green peak and carotenoid/chlorophyll balance
anth,28,554,green pigment reflectance,green peak and carotenoid/chlorophyll balance
anth,29,553,green pigment reflectance,green peak and carotenoid/chlorophyll balance
anth,30,526,green pigment reflectance,green peak and carotenoid/chlorophyll balance
